Iterations,Win,Draw ,Lose ,House Edge
88701,0.46,0.0593,0.4808,0.0209
88801,0.46,0.0545,0.4845,0.0235
88901,0.46,0.0601,0.4839,0.0279
89001,0.46,0.0582,0.4789,0.016
89101,0.46,0.056,0.4837,0.0234
89201,0.46,0.0597,0.4796,0.0189
89301,0.45,0.0612,0.4872,0.0356
89401,0.48,0.0583,0.466,-0.0097
89501,0.47,0.0584,0.4764,0.0112
89601,0.45,0.0646,0.4878,0.0402
89701,0.46,0.0598,0.4796,0.019
89801,0.48,0.0593,0.4649,-0.0109
89901,0.46,0.0555,0.4837,0.0229
90001,0.46,0.0584,0.4805,0.0194
90101,0.46,0.0649,0.4756,0.0161
90201,0.47,0.0509,0.4832,0.0173
90301,0.46,0.0574,0.4834,0.0242
90401,0.48,0.0544,0.4662,-0.0132
90501,0.47,0.0525,0.4796,0.0117
90601,0.46,0.0571,0.4792,0.0155
90701,0.45,0.0617,0.4836,0.0289
90801,0.47,0.0577,0.4772,0.0121
90901,0.46,0.0543,0.4832,0.0207
91001,0.45,0.0575,0.4904,0.0383
91101,0.46,0.0567,0.4851,0.0269
91201,0.45,0.0583,0.49,0.0383
91301,0.46,0.058,0.4789,0.0158
91401,0.47,0.0618,0.4717,0.0052
91501,0.47,0.0558,0.4767,0.0092
91601,0.46,0.0598,0.4828,0.0254
91701,0.46,0.0551,0.4805,0.0161
91801,0.47,0.0615,0.4726,0.0067
91901,0.47,0.0576,0.4773,0.0122
92001,0.46,0.0559,0.4878,0.0315
92101,0.46,0.0605,0.4819,0.0243
92201,0.47,0.0601,0.4736,0.0073
92301,0.47,0.0607,0.4738,0.0083
92401,0.47,0.0609,0.4713,0.0035
92501,0.47,0.0565,0.4776,0.0117
92601,0.47,0.0581,0.4752,0.0085
92701,0.47,0.0594,0.473,0.0054
92801,0.47,0.0585,0.4733,0.0051
92901,0.46,0.063,0.4804,0.0238
93001,0.47,0.0589,0.4749,0.0087
93101,0.46,0.0579,0.4846,0.0271
93201,0.47,0.0575,0.4767,0.0109
93301,0.46,0.0592,0.4819,0.023
93401,0.46,0.0568,0.4794,0.0156
93501,0.46,0.0556,0.4811,0.0178
93601,0.47,0.0629,0.4718,0.0065
93701,0.46,0.0574,0.487,0.0314
93801,0.46,0.0658,0.4761,0.018
93901,0.47,0.0559,0.4765,0.0089
94001,0.45,0.0608,0.4855,0.0318
94101,0.47,0.0547,0.4747,0.0041
94201,0.46,0.055,0.4871,0.0292
94301,0.45,0.0599,0.4858,0.0315
94401,0.46,0.0581,0.4783,0.0147
94501,0.47,0.0549,0.4794,0.0137
94601,0.47,0.0592,0.4737,0.0066
94701,0.47,0.0541,0.4774,0.0089
94801,0.47,0.0584,0.475,0.0084
94901,0.46,0.0587,0.4773,0.0133
95001,0.46,0.0571,0.4826,0.0223
95101,0.46,0.0527,0.4881,0.0289
95201,0.46,0.0575,0.4785,0.0145
95301,0.46,0.0581,0.4783,0.0147
95401,0.45,0.0594,0.4858,0.031
95501,0.47,0.0612,0.4721,0.0054
95601,0.47,0.0586,0.4709,0.0004
95701,0.46,0.0543,0.4863,0.0269
95801,0.46,0.0565,0.4809,0.0183
95901,0.46,0.0602,0.4832,0.0266
96001,0.47,0.065,0.4699,0.0048
96101,0.46,0.0588,0.478,0.0148
96201,0.46,0.0555,0.4809,0.0173
96301,0.47,0.0612,0.4729,0.007
96401,0.45,0.0619,0.4848,0.0315
96501,0.46,0.0608,0.4748,0.0104
96601,0.46,0.0558,0.4812,0.0182
96701,0.47,0.0548,0.48,0.0148
96801,0.46,0.0612,0.4782,0.0176
96901,0.46,0.0568,0.4815,0.0198
97001,0.45,0.0562,0.4898,0.0358
97101,0.46,0.0567,0.4786,0.0139
97201,0.46,0.0599,0.4804,0.0207
97301,0.46,0.0617,0.4781,0.0179
97401,0.46,0.058,0.4794,0.0168
97501,0.46,0.0581,0.4771,0.0123
97601,0.45,0.0594,0.4858,0.031
97701,0.46,0.0578,0.4829,0.0236
97801,0.47,0.0605,0.473,0.0065
97901,0.48,0.0571,0.464,-0.0149
98001,0.47,0.0591,0.4696,-0.0017
98101,0.47,0.0623,0.4694,0.0011
98201,0.46,0.057,0.4792,0.0154
98301,0.46,0.0565,0.4794,0.0153
98401,0.46,0.0606,0.4756,0.0118
98501,0.46,0.0602,0.4819,0.024
98601,0.46,0.0601,0.4797,0.0195
98701,0.47,0.0561,0.4716,-0.0007
98801,0.47,0.0609,0.4725,0.0059
98901,0.46,0.057,0.4798,0.0166
99001,0.46,0.0595,0.4838,0.0271
99101,0.46,0.0593,0.4772,0.0137
99201,0.47,0.0544,0.4805,0.0154
99301,0.47,0.0539,0.4806,0.0151
99401,0.46,0.0583,0.4839,0.0261
99501,0.47,0.0568,0.4743,0.0054
99601,0.47,0.0602,0.4748,0.0098
99701,0.47,0.0574,0.4764,0.0102
99801,0.46,0.0604,0.4771,0.0146
99901,0.46,0.0605,0.4788,0.0181
100001,0.46,0.059,0.4778,0.0146
